Date,Orders,Units Sold,Revenue,Ad Spend,Returns,Top Product,Notes
2026-08-05,12,17,"$3,126.80",$406.02,0,"Ferris Tee, striped",
2026-08-06,11,14,"$3,139.41",$437.04,0,"Sussex Shirt, oxford",
2026-08-07,13,15,"$3,229.51",$530.87,0,"Sussex Shirt, oxford",
2026-08-08,19,23,"$5,186.33",$953.32,1,Chilton Parka,
2026-08-09,18,25,"$4,731.96",$739.93,1,Lacey Wool Coat,
2026-08-10,11,15,"$3,129.63",$454.38,0,Adley Trousers,
2026-08-11,11,16,"$3,058.07",$463.41,1,Point III Knit,
2026-08-12,17,21,"$4,055.34",$754.79,0,"Sussex Shirt, oxford",
2026-08-13,17,22,"$4,178.23",$480.39,0,Marlow Denim Jacket,
2026-08-14,15,19,"$4,052.27",$510.14,1,Marlow Denim Jacket,
2026-08-15,23,27,"$5,974.72","$1,085.54",1,Marlow Denim Jacket,
2026-08-16,25,35,"$6,884.49","$1,066.96",1,Point III Knit,
2026-08-17,13,15,"$3,748.39",$658.29,0,Chilton Parka,
2026-08-18,14,20,"$3,669.62",$508.33,1,Point III Knit,
2026-08-19,14,20,"$3,327.69",$528.39,1,Chilton Parka,
2026-08-20,13,18,"$3,420.69",$643.22,0,Rowan Cardigan,
2026-08-21,14,19,"$3,922.50",$739.73,1,"Sussex Shirt, oxford",
2026-08-22,17,20,"$4,813.88",$785.54,1,"Sussex Shirt, oxford",
2026-08-23,21,30,"$5,192.68",$715.64,1,Marlow Denim Jacket,
2026-08-24,13,18,"$3,674.24",$417.26,0,"Ferris Tee, striped",
2026-08-25,11,15,"$3,022.86",$470.22,1,Adley Trousers,
2026-08-26,14,17,"$3,416.34",$383.50,1,Lacey Wool Coat,
2026-08-27,14,18,"$3,855.06",$659.88,1,Lacey Wool Coat,
2026-08-28,12,15,"$3,087.60",$584.12,0,"Ferris Tee, striped",
2026-08-29,23,30,"$5,529.61",$883.17,0,Rowan Cardigan,
2026-08-30,19,22,"$5,338.48",$856.19,1,"Sussex Shirt, oxford",
2026-08-31,13,15,"$3,025.54",$434.53,0,Adley Trousers,
2026-09-01,9,10,"$2,410.63",$301.43,0,Rowan Cardigan,Stock running low
2026-09-02,12,15,"$2,877.51",$484.67,0,Lacey Wool Coat,Stock running low
2026-09-03,9,11,"$2,101.03",$373.08,0,Adley Trousers,Parka sold out
